alabama  1275671 votes,    0.624 % trump,    0.364 % biden, 2020-11-04T03:44:37ZOkay: 
alabama  1281555 votes,    0.622 % trump,    0.365 % biden, 2020-11-04T03:44:58ZOkay: 
alabama  1286158 votes,    0.621 % trump,    0.366 % biden, 2020-11-04T03:46:24ZOkay: 
alabama  1291940 votes,     0.62 % trump,    0.367 % biden, 2020-11-04T03:48:07ZOkay: 
alabama  1310559 votes,    0.621 % trump,    0.366 % biden, 2020-11-04T03:49:33ZOkay: 
alabama  1326406 votes,    0.624 % trump,    0.363 % biden, 2020-11-04T03:49:58ZOkay: 
alabama  1355319 votes,    0.624 % trump,    0.363 % biden, 2020-11-04T03:50:06ZOkay: 
alabama  1441203 votes,    0.631 % trump,    0.356 % biden, 2020-11-04T03:51:49ZOkay: 
alabama  1447063 votes,    0.632 % trump,    0.355 % biden, 2020-11-04T03:52:41ZOkay: 
alabama  1458644 votes,    0.632 % trump,    0.355 % biden, 2020-11-04T03:53:35ZOkay: 
alabama  1504394 votes,    0.635 % trump,    0.352 % biden, 2020-11-04T03:54:06ZOkay: 
alabama  1527500 votes,    0.637 % trump,     0.35 % biden, 2020-11-04T03:54:19ZOkay: 
alabama  1529147 votes,    0.637 % trump,     0.35 % biden, 2020-11-04T03:55:07ZOkay: 
alabama  1537999 votes,    0.638 % trump,     0.35 % biden, 2020-11-04T03:55:21ZOkay: 
alabama  1544770 votes,    0.639 % trump,    0.349 % biden, 2020-11-04T03:56:43ZOkay: 
alabama  1546202 votes,    0.639 % trump,    0.349 % biden, 2020-11-04T03:59:40ZOkay: 
alabama  1575524 votes,    0.643 % trump,    0.345 % biden, 2020-11-04T04:00:00ZOkay: 
alabama  1607898 votes,    0.644 % trump,    0.343 % biden, 2020-11-04T04:03:03ZOkay: 
alabama  1608907 votes,    0.644 % trump,    0.343 % biden, 2020-11-04T04:04:42ZOkay: 
alabama  1619603 votes,    0.645 % trump,    0.342 % biden, 2020-11-04T04:12:03ZOkay: 
alabama  1641573 votes,    0.645 % trump,    0.342 % biden, 2020-11-04T04:15:33ZOkay: 
alabama  1662540 votes,    0.648 % trump,    0.339 % biden, 2020-11-04T04:17:29ZOkay: 
alabama  1665303 votes,    0.648 % trump,    0.339 % biden, 2020-11-04T04:18:55ZOkay: 
alabama  1669292 votes,    0.648 % trump,    0.339 % biden, 2020-11-04T04:27:41ZOkay: 
alabama  1713773 votes,    0.648 % trump,    0.339 % biden, 2020-11-04T04:33:36ZOkay: 
alabama  1715970 votes,    0.648 % trump,    0.339 % biden, 2020-11-04T04:39:13ZOkay: 
alabama  1750084 votes,    0.651 % trump,    0.336 % biden, 2020-11-04T04:43:59ZOkay: 
alabama  1801704 votes,    0.648 % trump,    0.338 % biden, 2020-11-04T04:47:53ZOkay: 
alabama  1823884 votes,    0.649 % trump,    0.337 % biden, 2020-11-04T04:59:39ZOkay: 
alabama  1866433 votes,    0.647 % trump,    0.339 % biden, 2020-11-04T05:04:23ZOkay: 
alabama  1866604 votes,    0.647 % trump,    0.339 % biden, 2020-11-04T05:05:17ZOkay: 
alabama  1962099 votes,     0.64 % trump,    0.347 % biden, 2020-11-04T05:06:58ZOkay: 
alabama  1974957 votes,    0.638 % trump,    0.348 % biden, 2020-11-04T05:34:58ZOkay: 
alabama  1997169 votes,    0.639 % trump,    0.347 % biden, 2020-11-04T05:40:33ZOkay: 
alabama  2002041 votes,    0.639 % trump,    0.347 % biden, 2020-11-04T05:52:31ZOkay: 
alabama  2009963 votes,    0.639 % trump,    0.348 % biden, 2020-11-04T06:12:38ZOkay: 
alabama  2037602 votes,     0.64 % trump,    0.347 % biden, 2020-11-04T06:27:48ZOkay: 
alabama  2039674 votes,     0.64 % trump,    0.346 % biden, 2020-11-04T06:29:29ZSUSPICIOUS, BIDEN VOTES NOMINALLY DECREASED: 
alabama  2054943 votes,    0.639 % trump,    0.347 % biden, 2020-11-04T06:30:35ZOkay: 
alabama  2056085 votes,    0.639 % trump,    0.347 % biden, 2020-11-04T06:31:52ZOkay: 
alabama  2062702 votes,     0.64 % trump,    0.347 % biden, 2020-11-04T06:32:55ZOkay: 
alabama  2075240 votes,    0.641 % trump,    0.345 % biden, 2020-11-04T06:33:57ZOkay: 
alabama  2107783 votes,    0.635 % trump,    0.352 % biden, 2020-11-04T06:35:22ZOkay: 
alabama  2109338 votes,    0.635 % trump,    0.352 % biden, 2020-11-04T06:36:18ZOkay: 
alabama  2120162 votes,    0.636 % trump,    0.351 % biden, 2020-11-04T06:37:13ZOkay: 
alabama  2141270 votes,    0.634 % trump,    0.352 % biden, 2020-11-04T06:38:09ZOkay: 
alabama  2145118 votes,    0.634 % trump,    0.352 % biden, 2020-11-04T06:39:10ZOkay: 
alabama  2157715 votes,    0.634 % trump,    0.353 % biden, 2020-11-04T06:55:35ZOkay: 
alabama  2159275 votes,    0.633 % trump,    0.353 % biden, 2020-11-04T07:10:16Z SUSPICIOUS, TRUMP VOTES NOMINALLY DECREASED: 
alabama  2230255 votes,    0.632 % trump,    0.355 % biden, 2020-11-04T08:02:25ZOkay: 
alabama        0 votes,        0 % trump,        0 % biden, 2020-11-04T10:02:44ZEXCLUDE: ZERO TOTAL VOTES: 
alabama  2279481 votes,    0.622 % trump,    0.364 % biden, 2020-11-04T17:07:25ZOkay: 
alabama  2294456 votes,    0.623 % trump,    0.363 % biden, 2020-11-04T20:19:14ZOkay: 
alabama  2294523 votes,    0.623 % trump,    0.363 % biden, 2020-11-04T20:23:33ZOkay: 
alabama  2297471 votes,    0.623 % trump,    0.363 % biden, 2020-11-04T20:58:46ZOkay: 
alabama  2297624 votes,    0.623 % trump,    0.363 % biden, 2020-11-04T21:08:16ZOkay: 
alabama  2297216 votes,    0.623 % trump,    0.363 % biden, 2020-11-06T18:37:30Z -- FAULT: TOTAL VOTES DECREASED!
alabama  2309900 votes,    0.621 % trump,    0.365 % biden, 2020-11-06T22:25:48ZOkay: 
alaska  190970 votes,    0.622 % trump,    0.336 % biden, 2020-11-09T19:09:13Z EXCLUDED, sampleTime > highCutoff
alaska  240234 votes,     0.58 % trump,    0.381 % biden, 2020-11-11T02:46:15Z EXCLUDED, sampleTime > highCutoff
alaska  260983 votes,    0.569 % trump,    0.391 % biden, 2020-11-11T13:18:28Z EXCLUDED, sampleTime > highCutoff
alaska  286788 votes,    0.559 % trump,    0.403 % biden, 2020-11-12T16:41:43Z EXCLUDED, sampleTime > highCutoff
alaska   113744 votes,    0.605 % trump,    0.352 % biden, 2020-11-04T07:47:41ZOkay: 
alaska   132475 votes,    0.614 % trump,    0.347 % biden, 2020-11-04T08:57:55ZOkay: 
alaska        0 votes,        0 % trump,        0 % biden, 2020-11-04T10:01:44ZEXCLUDE: ZERO TOTAL VOTES: 
alaska   172031 votes,    0.629 % trump,     0.33 % biden, 2020-11-04T18:34:58ZOkay: 
arizona 3284905 votes,    0.489 % trump,    0.495 % biden, 2020-11-07T20:01:48Z EXCLUDED, sampleTime > highCutoff
arizona 3285927 votes,    0.489 % trump,    0.495 % biden, 2020-11-07T21:27:39Z EXCLUDED, sampleTime > highCutoff
arizona 3293046 votes,    0.489 % trump,    0.495 % biden, 2020-11-08T01:02:42Z EXCLUDED, sampleTime > highCutoff
arizona 3295325 votes,    0.489 % trump,    0.495 % biden, 2020-11-08T02:19:59Z EXCLUDED, sampleTime > highCutoff
arizona 3295569 votes,    0.489 % trump,    0.495 % biden, 2020-11-08T17:37:42Z EXCLUDED, sampleTime > highCutoff
arizona 3298607 votes,    0.489 % trump,    0.495 % biden, 2020-11-08T19:29:36Z EXCLUDED, sampleTime > highCutoff
arizona 3305469 votes,    0.489 % trump,    0.495 % biden, 2020-11-08T23:01:47Z EXCLUDED, sampleTime > highCutoff
arizona 3308722 votes,    0.489 % trump,    0.495 % biden, 2020-11-08T23:29:43Z EXCLUDED, sampleTime > highCutoff
arizona 3322208 votes,     0.49 % trump,    0.495 % biden, 2020-11-08T23:34:40Z EXCLUDED, sampleTime > highCutoff
